count(10HZ)  latitude    longtitude  batteryPercent
172   42.406431   -122.885209   71
173   42.406431   -122.885209   71
174   42.406431   -122.885209   71
175   42.406432   -122.885209   71
176   42.406432   -122.885209   71
177   42.406432   -122.885209   71
178   42.406432   -122.885209   71
179   42.406432   -122.885209   71
180   42.406432   -122.885209   71
181   42.406432   -122.885209   71
182   42.406433   -122.885209   71
183   42.406433   -122.885209   71
184   42.406433   -122.885209   71
185   42.406433   -122.885209   71
186   42.406433   -122.885209   71
187   42.406433   -122.885209   71
188   42.406433   -122.885209   71
189   42.406433   -122.885209   71
190   42.406433   -122.885209   71
191   42.406433   -122.885209   71
192   42.406433   -122.885208   71
193   42.406433   -122.885208   71
194   42.406433   -122.885208   71
195   42.406433   -122.885208   71
196   42.406433   -122.885208   71
197   42.406433   -122.885208   71
198   42.406433   -122.885208   71
199   42.406433   -122.885208   71
200   42.406433   -122.885208   71
201   42.406432   -122.885208   71
202   42.406433   -122.885208   70
203   42.406433   -122.885208   70
204   42.406433   -122.885208   70
205   42.406433   -122.885208   70
206   42.406433   -122.885208   70
207   42.406433   -122.885208   70
208   42.406433   -122.885208   70
209   42.406433   -122.885208   70
210   42.406433   -122.885208   70
211   42.406433   -122.885208   70
212   42.406433   -122.885208   70
213   42.406433   -122.885208   70
214   42.406433   -122.885208   70
215   42.406433   -122.885208   70
216   42.406433   -122.885208   70
217   42.406433   -122.885208   70
218   42.406433   -122.885208   70
219   42.406433   -122.885208   70
220   42.406433   -122.885208   70
221   42.406433   -122.885208   70
222   42.406433   -122.885208   70
223   42.406433   -122.885208   70
224   42.406433   -122.885208   70
225   42.406433   -122.885208   70
226   42.406432   -122.885208   70
227   42.406432   -122.885208   70
228   42.406432   -122.885207   70
229   42.406432   -122.885207   70
230   42.406432   -122.885207   70
231   42.406432   -122.885207   70
232   42.406432   -122.885207   70
233   42.406432   -122.885207   70
234   42.406432   -122.885207   70
235   42.406432   -122.885207   70
236   42.406432   -122.885207   70
237   42.406432   -122.885207   70
238   42.406432   -122.885207   70
239   42.406432   -122.885207   70
240   42.406432   -122.885207   70
241   42.406432   -122.885207   70
242   42.406432   -122.885207   70
243   42.406432   -122.885207   70
244   42.406432   -122.885207   70
245   42.406432   -122.885207   70
246   42.406432   -122.885207   70
247   42.406432   -122.885207   70
248   42.406432   -122.885207   70
249   42.406432   -122.885207   70
250   42.406433   -122.885206   70
251   42.406433   -122.885206   70
252   42.406434   -122.885206   70
253   42.406434   -122.885206   70
254   42.406435   -122.885206   70
255   42.406435   -122.885206   70
256   42.406436   -122.885206   70
257   42.406436   -122.885206   70
258   42.406437   -122.885206   70
259   42.406437   -122.885205   70
260   42.406438   -122.885205   70
261   42.406439   -122.885205   70
262   42.406439   -122.885205   70
263   42.406440   -122.885205   70
264   42.406441   -122.885205   70
265   42.406442   -122.885204   70
266   42.406443   -122.885204   70
267   42.406444   -122.885204   70
268   42.406445   -122.885204   70
269   42.406446   -122.885204   70
270   42.406447   -122.885204   70
271   42.406448   -122.885204   70
272   42.406448   -122.885204   69
273   42.406449   -122.885204   69
274   42.406449   -122.885204   69
275   42.406449   -122.885204   69
276   42.406449   -122.885204   69
277   42.406449   -122.885205   69
278   42.406449   -122.885205   69
279   42.406449   -122.885205   69
280   42.406449   -122.885205   69
281   42.406449   -122.885205   69
282   42.406448   -122.885205   69
283   42.406448   -122.885205   69
284   42.406448   -122.885205   69
285   42.406448   -122.885205   69
286   42.406448   -122.885206   69
287   42.406448   -122.885206   69
288   42.406448   -122.885207   69
289   42.406448   -122.885208   69
290   42.406448   -122.885209   69
291   42.406448   -122.885209   69
292   42.406448   -122.885210   69
293   42.406448   -122.885211   69
294   42.406448   -122.885212   69
295   42.406448   -122.885213   69
296   42.406448   -122.885214   69
297   42.406448   -122.885215   69
298   42.406448   -122.885216   69
299   42.406448   -122.885217   69
300   42.406448   -122.885218   69
301   42.406448   -122.885219   69
302   42.406448   -122.885220   69
303   42.406448   -122.885221   69
304   42.406447   -122.885222   69
305   42.406447   -122.885224   69
306   42.406447   -122.885225   69
307   42.406447   -122.885226   69
308   42.406447   -122.885227   69
309   42.406447   -122.885228   69
310   42.406447   -122.885229   69
311   42.406447   -122.885230   69
312   42.406447   -122.885231   69
313   42.406447   -122.885232   69
314   42.406447   -122.885233   69
315   42.406447   -122.885233   69
316   42.406447   -122.885233   69
317   42.406446   -122.885234   69
318   42.406446   -122.885234   69
319   42.406446   -122.885234   69
320   42.406446   -122.885234   69
321   42.406446   -122.885234   69
322   42.406446   -122.885234   69
323   42.406446   -122.885233   69
324   42.406446   -122.885233   69
325   42.406446   -122.885233   69
326   42.406446   -122.885233   69
327   42.406446   -122.885233   69
328   42.406446   -122.885233   69
329   42.406446   -122.885233   69
330   42.406446   -122.885233   69
331   42.406446   -122.885233   69
332   42.406446   -122.885233   69
333   42.406446   -122.885233   69
334   42.406446   -122.885233   69
335   42.406446   -122.885233   69
336   42.406446   -122.885233   69
337   42.406446   -122.885233   69
338   42.406446   -122.885233   69
339   42.406446   -122.885233   69
340   42.406446   -122.885233   69
342   42.406446   -122.885234   69
343   42.406446   -122.885234   69
344   42.406446   -122.885234   69
345   42.406446   -122.885234   69
346   42.406446   -122.885234   69
347   42.406446   -122.885234   69
348   42.406446   -122.885234   69
349   42.406446   -122.885234   69
350   42.406446   -122.885234   69
351   42.406446   -122.885234   69
352   42.406446   -122.885234   69
353   42.406446   -122.885234   69
354   42.406446   -122.885234   69
355   42.406446   -122.885235   69
356   42.406446   -122.885235   69
357   42.406446   -122.885235   69
358   42.406446   -122.885235   69
359   42.406447   -122.885235   69
360   42.406447   -122.885235   69
361   42.406447   -122.885236   69
362   42.406447   -122.885236   69
363   42.406446   -122.885236   69
364   42.406446   -122.885236   69
365   42.406446   -122.885236   69
366   42.406446   -122.885236   69
367   42.406446   -122.885236   69
368   42.406446   -122.885236   69
369   42.406446   -122.885236   69
370   42.406446   -122.885236   69
371   42.406446   -122.885236   69
372   42.406446   -122.885236   69
373   42.406446   -122.885236   69
374   42.406446   -122.885235   69
375   42.406445   -122.885235   69
376   42.406445   -122.885235   69
377   42.406445   -122.885235   69
378   42.406445   -122.885235   69
379   42.406445   -122.885235   69
381   42.406445   -122.885235   69
382   42.406445   -122.885235   69
383   42.406445   -122.885235   69
384   42.406445   -122.885235   69
385   42.406445   -122.885235   69
386   42.406445   -122.885235   69
387   42.406445   -122.885234   69
388   42.406445   -122.885234   69
389   42.406445   -122.885234   69
390   42.406445   -122.885234   69
391   42.406445   -122.885234   69
392   42.406445   -122.885234   69
393   42.406445   -122.885234   69
394   42.406445   -122.885234   69
395   42.406445   -122.885234   69
396   42.406445   -122.885234   69
397   42.406445   -122.885234   69
398   42.406445   -122.885234   69
399   42.406445   -122.885234   69
400   42.406445   -122.885234   69
401   42.406445   -122.885234   69
402   42.406446   -122.885234   68
403   42.406446   -122.885234   68
404   42.406446   -122.885234   68
405   42.406446   -122.885234   68
406   42.406447   -122.885234   68
407   42.406447   -122.885234   68
408   42.406447   -122.885234   68
409   42.406448   -122.885234   68
410   42.406448   -122.885234   68
411   42.406448   -122.885234   68
412   42.406449   -122.885234   68
413   42.406449   -122.885233   68
414   42.406450   -122.885233   68
415   42.406450   -122.885233   68
416   42.406450   -122.885233   68
417   42.406451   -122.885233   68
418   42.406451   -122.885233   68
419   42.406452   -122.885233   68
420   42.406452   -122.885233   68
421   42.406452   -122.885233   68
422   42.406453   -122.885233   68
423   42.406453   -122.885233   68
424   42.406454   -122.885233   68
425   42.406454   -122.885233   68
426   42.406455   -122.885233   68
427   42.406455   -122.885233   68
428   42.406456   -122.885233   68
429   42.406456   -122.885233   68
430   42.406457   -122.885233   68
431   42.406458   -122.885233   68
432   42.406458   -122.885233   68
433   42.406459   -122.885233   68
434   42.406459   -122.885233   68
435   42.406460   -122.885233   68
436   42.406461   -122.885233   68
437   42.406461   -122.885233   68
438   42.406462   -122.885233   68
439   42.406463   -122.885233   68
440   42.406464   -122.885232   68
441   42.406464   -122.885232   68
442   42.406465   -122.885232   68
443   42.406466   -122.885232   68
444   42.406467   -122.885232   68
445   42.406467   -122.885232   68
446   42.406468   -122.885232   68
447   42.406469   -122.885232   68
448   42.406470   -122.885232   68
449   42.406471   -122.885232   68
450   42.406471   -122.885232   68
451   42.406472   -122.885232   68
452   42.406473   -122.885232   68
453   42.406474   -122.885232   68
454   42.406475   -122.885232   68
455   42.406476   -122.885232   68
456   42.406477   -122.885232   68
457   42.406478   -122.885232   68
458   42.406479   -122.885232   68
459   42.406479   -122.885232   68
460   42.406480   -122.885232   68
461   42.406481   -122.885232   68
462   42.406482   -122.885232   68
463   42.406483   -122.885232   68
464   42.406483   -122.885232   68
465   42.406484   -122.885232   68
466   42.406485   -122.885232   68
468   42.406487   -122.885232   68
469   42.406488   -122.885233   68
470   42.406489   -122.885233   68
471   42.406489   -122.885233   68
472   42.406490   -122.885233   68
473   42.406491   -122.885233   68
474   42.406492   -122.885233   68
475   42.406493   -122.885233   68
476   42.406493   -122.885233   68
477   42.406494   -122.885233   68
478   42.406495   -122.885233   68
479   42.406496   -122.885233   68
480   42.406496   -122.885234   68
481   42.406497   -122.885234   68
482   42.406498   -122.885234   68
483   42.406499   -122.885234   68
484   42.406499   -122.885234   68
485   42.406500   -122.885234   68
486   42.406501   -122.885234   68
487   42.406502   -122.885234   68
488   42.406503   -122.885234   68
489   42.406503   -122.885234   68
490   42.406504   -122.885234   68
492   42.406506   -122.885234   68
493   42.406506   -122.885234   68
494   42.406507   -122.885234   68
495   42.406508   -122.885234   68
496   42.406509   -122.885234   68
497   42.406510   -122.885234   68
498   42.406511   -122.885234   68
499   42.406511   -122.885234   68
