count(10HZ)  latitude    longtitude  batteryPercent
211   42.404779   -122.885205   88
212   42.404779   -122.885205   88
213   42.404779   -122.885205   88
214   42.404779   -122.885205   88
215   42.404779   -122.885205   88
216   42.404779   -122.885205   88
217   42.404779   -122.885205   88
218   42.404779   -122.885205   88
219   42.404779   -122.885205   88
220   42.404779   -122.885205   88
221   42.404779   -122.885205   88
222   42.404779   -122.885205   88
223   42.404778   -122.885205   88
224   42.404778   -122.885205   88
225   42.404778   -122.885206   88
226   42.404778   -122.885206   88
227   42.404778   -122.885207   88
228   42.404778   -122.885208   88
229   42.404777   -122.885208   88
230   42.404777   -122.885209   88
231   42.404777   -122.885211   88
232   42.404777   -122.885212   88
233   42.404777   -122.885213   88
234   42.404777   -122.885213   88
235   42.404777   -122.885214   88
236   42.404777   -122.885213   88
237   42.404777   -122.885213   88
238   42.404777   -122.885212   88
239   42.404777   -122.885212   88
240   42.404777   -122.885211   88
241   42.404777   -122.885210   88
242   42.404777   -122.885210   88
243   42.404777   -122.885209   88
244   42.404777   -122.885209   88
245   42.404777   -122.885208   88
246   42.404776   -122.885208   88
247   42.404776   -122.885208   88
248   42.404776   -122.885207   88
249   42.404777   -122.885207   88
250   42.404778   -122.885207   88
251   42.404779   -122.885207   88
252   42.404781   -122.885207   88
253   42.404783   -122.885207   88
254   42.404786   -122.885207   88
255   42.404788   -122.885207   88
256   42.404789   -122.885206   88
257   42.404790   -122.885205   88
258   42.404791   -122.885204   88
259   42.404791   -122.885203   88
260   42.404790   -122.885202   88
261   42.404789   -122.885201   88
262   42.404789   -122.885200   88
263   42.404788   -122.885200   88
264   42.404788   -122.885200   88
265   42.404788   -122.885200   88
266   42.404788   -122.885200   88
267   42.404788   -122.885200   88
268   42.404788   -122.885200   88
269   42.404788   -122.885200   88
270   42.404788   -122.885200   88
271   42.404788   -122.885200   88
272   42.404788   -122.885200   88
273   42.404788   -122.885200   88
274   42.404788   -122.885200   88
275   42.404788   -122.885200   88
276   42.404788   -122.885200   88
277   42.404788   -122.885200   88
278   42.404788   -122.885200   88
279   42.404788   -122.885200   88
280   42.404788   -122.885200   88
281   42.404788   -122.885200   88
282   42.404788   -122.885200   88
283   42.404788   -122.885200   88
284   42.404788   -122.885200   88
285   42.404788   -122.885200   88
286   42.404788   -122.885200   88
287   42.404788   -122.885200   88
288   42.404788   -122.885200   88
289   42.404788   -122.885200   87
290   42.404788   -122.885200   87
291   42.404788   -122.885200   87
292   42.404788   -122.885200   87
293   42.404788   -122.885200   87
294   42.404788   -122.885200   87
295   42.404788   -122.885200   87
296   42.404788   -122.885200   87
297   42.404788   -122.885200   87
298   42.404788   -122.885200   87
299   42.404788   -122.885200   87
300   42.404787   -122.885200   87
301   42.404787   -122.885200   87
302   42.404787   -122.885200   87
303   42.404787   -122.885201   87
304   42.404787   -122.885201   87
305   42.404787   -122.885201   87
306   42.404787   -122.885201   87
307   42.404787   -122.885201   87
308   42.404787   -122.885201   87
309   42.404787   -122.885201   87
310   42.404787   -122.885201   87
311   42.404787   -122.885201   87
312   42.404787   -122.885201   87
313   42.404787   -122.885201   87
314   42.404787   -122.885201   87
315   42.404786   -122.885201   87
316   42.404786   -122.885201   87
317   42.404786   -122.885201   87
318   42.404786   -122.885201   87
319   42.404786   -122.885201   87
320   42.404786   -122.885201   87
321   42.404786   -122.885201   87
322   42.404786   -122.885201   87
323   42.404786   -122.885201   87
324   42.404786   -122.885201   87
325   42.404786   -122.885201   87
326   42.404786   -122.885201   87
327   42.404786   -122.885201   87
328   42.404786   -122.885201   87
329   42.404786   -122.885201   87
330   42.404786   -122.885201   87
331   42.404786   -122.885201   87
332   42.404786   -122.885201   87
333   42.404786   -122.885202   87
334   42.404786   -122.885202   87
336   42.404786   -122.885203   87
337   42.404786   -122.885203   87
338   42.404786   -122.885204   87
339   42.404786   -122.885204   87
340   42.404786   -122.885204   87
341   42.404786   -122.885205   87
342   42.404786   -122.885205   87
343   42.404786   -122.885206   87
344   42.404786   -122.885207   87
345   42.404786   -122.885207   87
346   42.404787   -122.885208   87
347   42.404787   -122.885209   87
348   42.404787   -122.885209   87
